id,l10n_bg_ecattu,l10n_bg_type_settlement_id/id,name,l10n_bg_code,l10n_bg_structure_type,country_id/id,zipcode,l10n_bg_has_tax_office
l10n_bg.06985,06985,l10n_bg_city.village,Буковец,SFO43-00,normal,base.bg,,False
l10n_bg.07020,07020,l10n_bg_city.village,Букоровци,SFO09-00,normal,base.bg,,False
l10n_bg.07048,07048,l10n_bg_city.village,Буново,KNL29-00,normal,base.bg,,False
l10n_bg.07096,07096,l10n_bg_city.village,Бусинци,PER51-00,normal,base.bg,,False
l10n_bg.07137,07137,l10n_bg_city.village,Бутроинци,PER51-00,normal,base.bg,,False
l10n_bg.07168,07168,l10n_bg_city.village,Бучино,BLG03-00,normal,base.bg,,False
l10n_bg.07185,07185,l10n_bg_city.village,Бучуковци,GAB12-02,normal,base.bg,,False
l10n_bg.07209,07209,l10n_bg_city.village,Бъзовец,MON11-00,normal,base.bg,,False
l10n_bg.07226,07226,l10n_bg_city.village,Бъзовица,KNL50-00,normal,base.bg,,False
l10n_bg.07288,07288,l10n_bg_city.village,Българене,SZR27-00,normal,base.bg,,False
l10n_bg.07291,07291,l10n_bg_city.village,Българи,BGS13-00,normal,base.bg,,False
l10n_bg.07329,07329,l10n_bg_city.village,Българка,SLS31-00,normal,base.bg,,False
l10n_bg.07380,07380,l10n_bg_city.village,Бънзарето,SZR22-00,normal,base.bg,,False
l10n_bg.07394,07394,l10n_bg_city.village,Бърдарево,VAR13-00,normal,base.bg,,False
l10n_bg.07404,07404,l10n_bg_city.village,Бърдарите,GAB35-04,normal,base.bg,,False
l10n_bg.07421,07421,l10n_bg_city.village,Бърдени,GAB35-00,normal,base.bg,,False
l10n_bg.07435,07435,l10n_bg_city.village,Бърдо,SFO20-00,normal,base.bg,,False
l10n_bg.07541,07541,l10n_bg_city.village,Бърложница,SFO45-00,normal,base.bg,,False
l10n_bg.07555,07555,l10n_bg_city.village,Бърля,SFO09-00,normal,base.bg,,False
l10n_bg.07627,07627,l10n_bg_city.village,Бяла вода,BGS12-00,normal,base.bg,,False
l10n_bg.07795,07795,l10n_bg_city.village,Бялково,GAB05-00,normal,base.bg,,False
l10n_bg.07805,07805,l10n_bg_city.village,Бялковци,VTR13-01,normal,base.bg,,False
l10n_bg.13069,13069,l10n_bg_city.village,Валевци,GAB29-00,normal,base.bg,,False
l10n_bg.10063,10063,l10n_bg_city.village,Валето,VTR13-00,normal,base.bg,,False
