id,ekatte,type_village_city_id/id,name,code,structure_type,country_id/id,zipcode,has_taxoffice
l10n_bg.11017,11017,l10n_bg.village,Vidrar,PER51-00,normal,base.bg,,False
l10n_bg.11034,11034,l10n_bg.village,Vidritsa,PER08-00,normal,base.bg,,False
l10n_bg.11051,11051,l10n_bg.village,Vizitsa,BGS12-00,normal,base.bg,,False
l10n_bg.11065,11065,l10n_bg.village,Vilare,VTR04-00,normal,base.bg,,False
l10n_bg.11168,11168,l10n_bg.village,Vinogradi,BLG40-00,normal,base.bg,,False
l10n_bg.11199,11199,l10n_bg.village,Vis,HKV11-04,normal,base.bg,,False
l10n_bg.11209,11209,l10n_bg.village,Viskyar,PER32-00,normal,base.bg,,False
l10n_bg.11226,11226,l10n_bg.village,Visoka,KRZ16-22,normal,base.bg,,False
l10n_bg.11232,11232,l10n_bg.village,Visoka mogila,KNL05-00,normal,base.bg,,False
l10n_bg.11260,11260,l10n_bg.village,Visokite,SML16-00,normal,base.bg,,False
l10n_bg.11274,11274,l10n_bg.village,Visokovtsi,VTR13-00,normal,base.bg,,False
l10n_bg.11315,11315,l10n_bg.village,Vihren,BLG40-00,normal,base.bg,,False
l10n_bg.11329,11329,l10n_bg.village,Vichovo,DOB12-00,normal,base.bg,,False
l10n_bg.11332,11332,l10n_bg.village,Vishan,SFO16-00,normal,base.bg,,False
l10n_bg.11358,11358,l10n_bg.village,Vishlene,BLG33-00,normal,base.bg,,False
l10n_bg.11435,11435,l10n_bg.village,Vladimirovo,HKV32-08,normal,base.bg,,False
l10n_bg.11483,11483,l10n_bg.village,Vladislavtsi,SFO16-00,normal,base.bg,,False
l10n_bg.11497,11497,l10n_bg.village,Vladichentsi,VID16-00,normal,base.bg,,False
l10n_bg.11507,11507,l10n_bg.village,Vladovtsi,GAB35-00,normal,base.bg,,False
l10n_bg.11524,11524,l10n_bg.village,Vlaychovtsi,GAB05-00,normal,base.bg,,False
l10n_bg.11541,11541,l10n_bg.village,Vlasatili,GAB35-00,normal,base.bg,,False
l10n_bg.11569,11569,l10n_bg.village,Vlahi,BLG28-00,normal,base.bg,,False
l10n_bg.11586,11586,l10n_bg.village,Vlahovtsi,GAB05-00,normal,base.bg,,False
l10n_bg.11604,11604,l10n_bg.village,Vodata,SML31-00,normal,base.bg,,False
l10n_bg.11675,11675,l10n_bg.village,Vodenicharovo,SZR31-00,normal,base.bg,,False
l10n_bg.11720,11720,l10n_bg.village,Vodna,VID15-00,normal,base.bg,,False
l10n_bg.11733,11733,l10n_bg.village,Vodni pad,SML09-13,normal,base.bg,,False
l10n_bg.11750,11750,l10n_bg.village,Vodno,VTR31-00,normal,base.bg,,False
l10n_bg.11898,11898,l10n_bg.village,Voynezha,VTR04-00,normal,base.bg,,False
l10n_bg.11911,11911,l10n_bg.village,Voynikovo,DOB27-20,normal,base.bg,,False
l10n_bg.11925,11925,l10n_bg.village,Voynitsa,VID09-00,normal,base.bg,,False
l10n_bg.11939,11939,l10n_bg.village,Voynitsi,MON29-00,normal,base.bg,,False
l10n_bg.11956,11956,l10n_bg.village,Voynitsite,GAB35-00,normal,base.bg,,False
l10n_bg.11960,11960,l10n_bg.village,Voynishka,GAB29-00,normal,base.bg,,False
l10n_bg.11987,11987,l10n_bg.village,Voynovo,KRZ35-00,normal,base.bg,,False
l10n_bg.12036,12036,l10n_bg.village,Volno,BLG33-00,normal,base.bg,,False
l10n_bg.12042,12042,l10n_bg.village,Volovarovo,SZR36-11,normal,base.bg,,False
l10n_bg.12111,12111,l10n_bg.village,Vrabtsite,GAB05-00,normal,base.bg,,False
l10n_bg.12139,12139,l10n_bg.village,Vrabcha,PER51-00,normal,base.bg,,False
l10n_bg.12142,12142,l10n_bg.village,Vrakupovitsa,BLG49-00,normal,base.bg,,False
l10n_bg.12187,12187,l10n_bg.village,Vranintsi,SML16-00,normal,base.bg,,False
l10n_bg.12228,12228,l10n_bg.village,Vranya stena,PER19-00,normal,base.bg,,False
l10n_bg.12992,12992,l10n_bg.village,Vrata,PDV01-00,normal,base.bg,,False
l10n_bg.12231,12231,l10n_bg.village,Vratarite,DOB15-00,normal,base.bg,,False
