id,ekatte,type_village_city_id/id,name,code,structure_type,country_id/id,zipcode,has_taxoffice
l10n_bg.02333,02333,l10n_bg.village,Балалея,GAB12-00,normal,base.bg,,False
l10n_bg.02347,02347,l10n_bg.village,Баланите,GAB05-00,normal,base.bg,,False
l10n_bg.02378,02378,l10n_bg.village,Балванците,GAB12-00,normal,base.bg,,False
l10n_bg.02419,02419,l10n_bg.village,Балиновци,GAB05-09,normal,base.bg,,False
l10n_bg.02453,02453,l10n_bg.village,Балкан махала,PDV15-00,normal,base.bg,,False
l10n_bg.02484,02484,l10n_bg.village,Балканци,DOB12-00,normal,base.bg,,False
l10n_bg.02498,02498,l10n_bg.village,Балуци,VTR13-00,normal,base.bg,,False
l10n_bg.02539,02539,l10n_bg.village,Бальовци,SFO20-06,normal,base.bg,,False
l10n_bg.02542,02542,l10n_bg.village,Балювица,MON02-00,normal,base.bg,,False
l10n_bg.02556,02556,l10n_bg.village,Банари,GAB12-00,normal,base.bg,,False
l10n_bg.02563,02563,l10n_bg.village,Бангейци,GAB35-00,normal,base.bg,,False
l10n_bg.02614,02614,l10n_bg.village,Банище,PER08-00,normal,base.bg,,False
l10n_bg.02628,02628,l10n_bg.village,Банковец,TGV02-00,normal,base.bg,,False
l10n_bg.02631,02631,l10n_bg.village,Банковци,GAB05-00,normal,base.bg,,False
l10n_bg.02645,02645,l10n_bg.village,Банкя,PER51-00,normal,base.bg,,False
l10n_bg.02659,02659,l10n_bg.town,Банкя,SOF46-00,normal,base.bg,,False
l10n_bg.02662,02662,l10n_bg.village,Баново,VAR26-00,normal,base.bg,,False
l10n_bg.02689,02689,l10n_bg.village,Банчовци,SFO20-00,normal,base.bg,,False
l10n_bg.02806,02806,l10n_bg.village,Баскалци,BLG33-00,normal,base.bg,,False
l10n_bg.02899,02899,l10n_bg.village,Батулия,SFO43-00,normal,base.bg,,False
l10n_bg.02926,02926,l10n_bg.village,Бахалин,SFO45-00,normal,base.bg,,False
l10n_bg.02943,02943,l10n_bg.village,Бахреци,GAB35-00,normal,base.bg,,False
l10n_bg.03023,03023,l10n_bg.village,Бащино,SZR23-00,normal,base.bg,,False
l10n_bg.03040,03040,l10n_bg.village,Бдинци,DOB15-00,normal,base.bg,,False
l10n_bg.03126,03126,l10n_bg.village,Беджене,SHU22-00,normal,base.bg,,False
l10n_bg.03157,03157,l10n_bg.village,Бежаново,DOB12-00,normal,base.bg,,False
l10n_bg.03188,03188,l10n_bg.village,Безводно,KRZ35-00,normal,base.bg,,False
l10n_bg.03232,03232,l10n_bg.village,Бейковци,VTR13-00,normal,base.bg,,False
l10n_bg.03246,03246,l10n_bg.village,Бекриите,GAB05-00,normal,base.bg,,False
l10n_bg.03263,03263,l10n_bg.village,Бела,VID16-00,normal,base.bg,,False
l10n_bg.03277,03277,l10n_bg.village,Беланица,PER36-00,normal,base.bg,,False
l10n_bg.03321,03321,l10n_bg.village,Белев дол,SML31-00,normal,base.bg,,False
